Run,Climate,System,Parametric,Heating [kBtu]_92,Cooling [kBtu]_92,Fan [kBtu]_92,Heat [kWh]_92,Cool [kWh]_92,Fan [kWh]_92,Heating [kBtu]_95,Cooling [kBtu]_95,Fan [kBtu]_95,Heat [kWh]_95,Cool [kWh]_95,Fan [kWh]_95,U,SHGC,Heat%Diff,Cool%Diff,Fan%Diff
19,2A,Elec,HOU+elecres+slab+IECC_2018_para00019Table.csv,20588.56,10536.61,2501.53,6032.45,3087.2,732.94829,20292.27,10855.05,2562.41,5945.64,3180.5,750.78613,0.7,0.1,-1.43910016,3.022224416,2.433710569
20,2A,Elec,HOU+elecres+slab+IECC_2018_para00020Table.csv,18611.75,12804.37,3024.84,5453.24,3751.7,886.27812,18457.18,13076.24,3085.23,5407.95,3831.3,903.97239,0.7,0.25,-0.830496864,2.123259481,1.996469235
21,2A,Elec,HOU+elecres+slab+IECC_2018_para00021Table.csv,17496.59,14519.25,3445.37,5126.5,4254.1,1009.49341,17197.99,15163.15,3585.62,5039.01,4442.8,1050.58666,0.7,0.4,-1.706618261,4.434802073,4.070680362
22,2A,Elec,HOU+elecres+slab+IECC_2018_para00022Table.csv,16484.63,16594.03,3936.03,4830,4862.1,1153.25679,16290.55,17144.74,4067.14,4773.13,5023.4,1191.67202,0.7,0.55,-1.177339133,3.318723661,3.331021359
23,2A,Elec,HOU+elecres+slab+IECC_2018_para00023Table.csv,15679.76,18842.13,4480.86,4594.17,5520.7,1312.89198,15592.07,19152.46,4553.16,4568.48,5611.7,1334.07588,0.7,0.7,-0.559256009,1.647000631,1.613529546
24,2A,Elec,HOU+elecres+slab+IECC_2018_para00024Table.csv,14995.12,21364.74,5098.5,4393.57,6259.9,1493.8605,15050.72,21103.88,5037.63,4409.86,6183.4,1476.02559,0.7,0.85,0.370787296,-1.220983733,-1.193880553
25,2A,Elec,HOU+elecres+slab+IECC_2018_para00025Table.csv,22421.8,10661.77,2587.21,6569.59,3123.9,758.05253,22131.71,10972.56,2648.49,6484.59,3215,776.00757,0.9,0.1,-1.293785512,2.914994415,2.368574642
26,2A,Elec,HOU+elecres+slab+IECC_2018_para00026Table.csv,20209.71,13175.89,3178.86,5921.45,3860.5,931.40598,20118.34,13340.76,3215.9,5894.67,3908.8,942.2587,0.9,0.25,-0.452109407,1.251300671,1.165197587
27,2A,Elec,HOU+elecres+slab+IECC_2018_para00027Table.csv,18950.1,15115.23,3645.43,5552.38,4428.8,1068.11099,18769.38,15505.33,3741.34,5499.43,4543.1,1096.21262,0.9,0.4,-0.953662514,2.580840649,2.630965346
28,2A,Elec,HOU+elecres+slab+IECC_2018_para00028Table.csv,17881.65,17360.02,4190.23,5239.32,5086.5,1227.73739,17836.6,17481.39,4218.35,5226.12,5122,1235.97655,0.9,0.55,-0.251934245,0.699135139,0.671084881
29,2A,Elec,HOU+elecres+slab+IECC_2018_para00029Table.csv,17182.11,19234.52,4650.37,5034.36,5635.7,1362.55841,17135.23,19376.81,4684.38,5020.62,5677.4,1372.52334,0.9,0.7,-0.272841927,0.739763716,0.731339657
30,2A,Elec,HOU+elecres+slab+IECC_2018_para00030Table.csv,16570.39,21360.53,5174.93,4855.12,6258.6,1516.25449,16601.41,21205.71,5138.98,4864.21,6213.3,1505.72114,0.9,0.85,0.187201388,-0.72479475,-0.694695387
31,2A,Elec,HOU+elecres+slab+IECC_2018_para00031Table.csv,23453.81,10774.15,2645.7,6871.97,3156.8,775.1901,23177.81,11073.48,2701.65,6791.1,3244.5,791.58345,1.1,0.1,-1.176781086,2.778223804,2.114752239
32,2A,Elec,HOU+elecres+slab+IECC_2018_para00032Table.csv,21158.72,13372.07,3264.97,6199.5,3918,956.63621,21095.67,13475.24,3288.46,6181.03,3948.2,963.51878,1.1,0.25,-0.29798589,0.771533502,0.719455309
33,2A,Elec,HOU+elecres+slab+IECC_2018_para00033Table.csv,19832.87,15405.48,3757.94,5811.03,4513.8,1101.07642,19718.88,15654.39,3815.61,5777.63,4586.7,1117.97373,1.1,0.4,-0.574752923,1.615723755,1.53461737
34,2A,Elec,HOU+elecres+slab+IECC_2018_para00034Table.csv,18757.95,17634.14,4301.57,5496.08,5166.8,1260.36001,18773.02,17585.57,4289.54,5500.49,5152.6,1256.83522,1.1,0.55,0.080339269,-0.275431634,-0.279665331
35,2A,Elec,HOU+elecres+slab+IECC_2018_para00035Table.csv,18063.59,19446.06,4746.08,5292.63,5697.7,1390.60144,18068.11,19405.87,4737.05,5293.96,5685.9,1387.95565,1.1,0.7,0.025022711,-0.206674257,-0.19026228
